Airline_Code,Airport_Name,avg_dep_delay
9E,"Greer, SC: Greenville-Spartanburg International",34.0256
AA,"Santa Barbara, CA: Santa Barbara Municipal",194.0000
AS,"Houston, TX: George Bush Intercontinental/Houston",27.7679
B6,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",35.0517
DL,"Houston, TX: George Bush Intercontinental/Houston",35.2273
EV,"Green Bay, WI: Green Bay Austin Straubel International",154.0000
F9,"Little Rock, AR: Bill and Hillary Clinton Nat Adams Field",55.4375
G4,"Ogden, UT: Ogden-Hinckley",55.8889
HA,"Long Beach, CA: Long Beach Airport",17.0000
MQ,"White Plains, NY: Westchester County",43.0877
NK,"Greensboro/High Point, NC: Piedmont Triad International",31.4773
OH,"New York, NY: John F. Kennedy International",42.0000
OO,"Harrisburg, PA: Harrisburg International",72.7000
UA,"Missoula, MT: Missoula International",53.4516
WN,"Newark, NJ: Newark Liberty International",25.6315
YV,"Raleigh/Durham, NC: Raleigh-Durham International",48.7115
YX,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",145.0000
